"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","363","@regression delete a user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","365","@regression update a user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","42603","@smoke login page title test","chromium","2026-08-31","broken","2026-08-31","","loginpage-fixture.spec.ts","",""
"","659","@regression GET invoices","chromium","2026-08-31","passed","2026-08-31","","api/paypal-oauth2.spec.ts","",""
"","887","@regression POST API -- create a new users","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","281","@regression mock search data API","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","1046","@smoke Get all users and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","378","@regression create a new user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","42617","home page title test","chromium","2026-08-31","broken","2026-08-31","","homepage.spec.ts","",""
"","1743","@smoke Get a single user and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","42610","@smoke verify logout link test","chromium","2026-08-31","broken","2026-08-31","","homepage-fixture.spec.ts","",""
"","42608","@smoke home page title test","chromium","2026-08-31","broken","2026-08-31","","homepage-fixture.spec.ts","",""
"","40169","@smoke intercept and log requests","chromium","2026-08-31","broken","2026-08-31","","api/intercept.spec.ts","",""
"","40163","verify logout link test","chromium","2026-08-31","broken","2026-08-31","","homepage.spec.ts","",""
"","42591","@regression home page headers test","chromium","2026-08-31","broken","2026-08-31","","homepage-fixture.spec.ts","",""
"","1569","@regression PUT API -- update a user","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","382","@regression get user test","chromium","2026-08-31","passed","2026-08-31","","api/users-api.spec.ts","",""
"","380","@smoke GET API -- get all users","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","2847","@regression DELETE API -- delete a user","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","42611","home page headers test","chromium","2026-08-31","broken","2026-08-31","","homepage.spec.ts","",""
