"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1011","@smoke Get all users and validate the schema","chromium","2026-09-07","passed","2026-09-07","","api/schema-validation.spec.ts","",""
"","5178","@smoke verify footers on product page","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","2482","@smoke login page title test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","3337","@smoke verify logout link test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","1014","@smoke GET API -- get all users","chromium","2026-09-07","passed","2026-09-07","","api/users-api-separate.spec.ts","",""
"","4686","@smoke valid login test","chromium","2026-09-07","passed","2026-09-07","","loginpage-fixture.spec.ts","",""
"","3405","@smoke home page title test","chromium","2026-09-07","passed","2026-09-07","","homepage-fixture.spec.ts","",""
"","4712","@smoke verify logo on product page","chromium","2026-09-07","passed","2026-09-07","","productpage.spec.ts","",""
"","3047","@smoke intercept and log requests","chromium","2026-09-07","passed","2026-09-07","","api/intercept.spec.ts","",""
"","1428","@smoke Get a single user and validate the schema","chromium","2026-09-07","passed","2026-09-07","","api/schema-validation.spec.ts","",""
