"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1846","@smoke login page title test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","3395","@smoke valid login test","chromium","2026-08-31","passed","2026-08-31","","loginpage-fixture.spec.ts","",""
"","2681","@smoke home page title test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","2454","@smoke intercept and log requests","chromium","2026-08-31","passed","2026-08-31","","api/intercept.spec.ts","",""
"","2079","@smoke Get a single user and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","354","@smoke GET API -- get all users","chromium","2026-08-31","passed","2026-08-31","","api/users-api-separate.spec.ts","",""
"","416","@smoke Get all users and validate the schema","chromium","2026-08-31","passed","2026-08-31","","api/schema-validation.spec.ts","",""
"","2830","@smoke verify logout link test","chromium","2026-08-31","passed","2026-08-31","","homepage-fixture.spec.ts","",""
"","3765","@smoke verify logo on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
"","3867","@smoke verify footers on product page","chromium","2026-08-31","passed","2026-08-31","","productpage.spec.ts","",""
